N, O1, O2, O3
124, 0.00000000, 0.00000000, 0.00000000
125, 0.00000000, 0.00000000, 0.00000000
126, 0.00000000, 0.00000000, 0.00000000
127, 0.00000000, 0.00000000, 0.00009999
128, 0.00000000, 0.00000000, 0.00000000
129, 0.00000000, 0.00000000, 0.00000000
130, 0.00000000, 0.00000000, 0.00000000
131, 0.00000000, 0.00000000, 0.00000000
132, 0.00000000, 0.00000000, 0.00000000
133, 0.00000000, 0.00000000, 0.00000000
134, 0.00000000, 0.00000000, 0.00000000
135, 0.00000000, 0.00000000, 0.00009999
136, 0.00000000, 0.00000000, 0.00000000
137, 0.00000000, 0.00000000, 0.00000000
138, 0.00000000, 0.00000000, 0.00000000
139, 0.00000000, 0.00000000, 0.00000000
140, 0.00000000, 0.00000000, 0.00000000
141, 0.00000000, 0.00000000, 0.00000000
142, 0.00000000, 0.00000000, 0.00000000
143, 0.00009995, 0.00000000, 0.00000000
144, 0.00000000, 0.00000000, 0.00000000
145, 0.00000000, 0.00000000, 0.00000000
146, 0.00000000, 0.00000000, 0.00000000
147, 0.00000000, 0.00000000, 0.00000000
148, 0.00000000, 0.00000000, 0.00000000
149, 0.00000000, 0.00000000, 0.00000000
150, 0.00000000, 0.00000000, 0.00000000
151, 0.00000000, 0.00000000, 0.00000000
152, 0.00000000, 0.00000000, 0.00000000
153, 0.00000000, 0.00000000, 0.00000000
154, 0.00000000, 0.00000000, 0.00000000
155, 0.00000000, 0.00000000, 0.00000000
156, 0.00000000, 0.00000000, 0.00000000
157, 0.00009992, 0.00000000, 0.00000000
158, 0.00000000, 0.00000000, 0.00000000
159, 0.00000000, 0.00000000, 0.00000000
160, 0.00000000, 0.00000000, 0.00000000
161, 0.00000000, 0.00000000, 0.00000000
162, 0.00000000, 0.00000000, 0.00000000
163, 0.00000000, 0.00000000, 0.00000000
164, 0.00000000, 0.00000000, 0.00000000
165, 0.00000000, 0.00000000, 0.00000000
166, 0.00000000, 0.00000000, 0.00000000
167, 0.00000000, 0.00000000, 0.00000000
168, 0.00000000, 0.00000000, 0.00000000
169, 0.00000000, 0.00000000, 0.00000000
170, 0.00000000, 0.00000000, 0.00000000
171, 0.00009997, 0.00000000, 0.00000000
172, 0.00000000, 0.00000000, 0.00000000
173, 0.00000000, 0.00000000, 0.00000000
174, 0.00000000, 0.00000000, 0.00000000
175, 0.00000000, 0.00000000, 0.00000000
176, 0.00000000, 0.00000000, 0.00000000
177, 0.00000000, 0.00000000, 0.00010002
178, 0.00000000, 0.00000000, 0.00000000
179, 0.00000000, 0.00000000, 0.00000000
180, 0.00000000, 0.00000000, 0.00000000
181, 0.00000000, 0.00000000, 0.00000000
182, 0.00000000, 0.00000000, 0.00000000
183, 0.00000000, 0.00000000, 0.00009999
184, 0.00000000, 0.00000000, 0.00000000
185, 0.00000000, 0.00000000, 0.00000000
186, 0.00000000, 0.00000000, 0.00000000
187, 0.00000000, 0.00000000, 0.00000000
188, 0.00000000, 0.00000000, 0.00000000
189, 0.00000000, 0.00000000, 0.00000000
190, 0.00000000, 0.00000000, 0.00009997
191, 0.00000000, 0.00000000, 0.00000000
192, 0.00000000, 0.00000000, 0.00000000
193, 0.00000000, 0.00000000, 0.00000000
194, 0.00000000, 0.00000000, 0.00000000
195, 0.00000000, 0.00000000, 0.00010002
196, 0.00000000, 0.00000000, 0.00000000
197, 0.00000000, 0.00000000, 0.00000000
198, 0.00000000, 0.00000000, 0.00000000
199, 0.00000000, 0.00000000, 0.00000000
200, 0.00000000, 0.00000000, 0.00009999
201, 0.00000000, 0.00000000, 0.00000000
202, 0.00000000, 0.00000000, 0.00000000
203, 0.00000000, 0.00000000, 0.00000000
204, 0.00000000, 0.00000000, 0.00000000
205, 0.00000000, 0.00000000, 0.00000000
206, 0.00000000, 0.00000000, 0.00010035
207, 0.00000000, 0.00000000, 0.00000000
208, 0.00000000, 0.00000000, 0.00000000
209, 0.00000000, 0.00000000, 0.00000000
210, 0.00000000, 0.00000000, 0.00000000
211, 0.00000000, 0.00000000, 0.00000000
212, 0.00000000, 0.00000000, 0.00009968
213, 0.00000000, 0.00000000, 0.00000000
214, 0.00000000, 0.00000000, 0.00000000
215, 0.00000000, 0.00000000, 0.00000000
216, 0.00000000, 0.00000000, 0.00000000
217, 0.00000000, 0.00000000, 0.00000000
218, 0.00000000, 0.00000000, 0.00009997
219, 0.00000000, 0.00000000, 0.00000000
220, 0.00000000, 0.00000000, 0.00000000
221, 0.00000000, 0.00000000, 0.00000000
222, 0.00000000, 0.00000000, 0.00000000
223, 0.00000000, 0.00000000, 0.00000000
224, 0.00000000, 0.00000000, 0.00009999
225, 0.00000000, 0.00000000, 0.00000000
226, 0.00000000, 0.00000000, 0.00000000
227, 0.00000000, 0.00000000, 0.00000000
228, 0.00000000, 0.00000000, 0.00000000
229, 0.00010009, 0.00000000, 0.00000000
230, 0.00000000, 0.00000000, 0.00000000
231, 0.00000000, 0.00000000, 0.00000000
232, 0.00000000, 0.00000000, 0.00000000
233, 0.00000000, 0.00000000, 0.00010006
234, 0.00000000, 0.00000000, 0.00000000
235, 0.00000000, 0.00000000, 0.00000000
236, 0.00000000, 0.00000000, 0.00000000
237, 0.00000000, 0.00000000, 0.00000000
238, 0.00000000, 0.00000000, 0.00000000
239, 0.00009992, 0.00000000, 0.00000000
240, 0.00000000, 0.00000000, 0.00000000
241, 0.00000000, 0.00000000, 0.00000000
242, 0.00000000, 0.00000000, 0.00000000
243, 0.00000000, 0.00000000, 0.00000000
244, 0.00009997, 0.00000000, 0.00000000
245, 0.00000000, 0.00000000, 0.00000000
246, 0.00000000, 0.00000000, 0.00000000
247, 0.00000000, 0.00000000, 0.00000000
248, 0.00000000, 0.00000000, 0.00000000
249, 0.00000000, 0.00000000, 0.00009999
250, 0.00000000, 0.00000000, 0.00000000
251, 0.00000000, 0.00000000, 0.00000000
252, 0.00000000, 0.00000000, 0.00000000
253, 0.00000000, 0.00000000, 0.00000000
254, 0.00000000, 0.00000000, 0.00009997
255, 0.00000000, 0.00000000, 0.00000000
256, 0.00000000, 0.00000000, 0.00000000
257, 0.00000000, 0.00000000, 0.00000000
258, 0.00000000, 0.00000000, 0.00000000
259, 0.00000000, 0.00000000, 0.00010002
260, 0.00000000, 0.00000000, 0.00000000
261, 0.00000000, 0.00000000, 0.00000000
262, 0.00000000, 0.00000000, 0.00000000
263, 0.00000000, 0.00000000, 0.00000000
264, 0.00000000, 0.00000000, 0.00010002
265, 0.00000000, 0.00000000, 0.00000000
266, 0.00000000, 0.00000000, 0.00000000
267, 0.00000000, 0.00000000, 0.00000000
268, 0.00000000, 0.00000000, 0.00000000
269, 0.00000000, 0.00009999, 0.00000000
270, 0.00000000, 0.00000000, 0.00000000
271, 0.00000000, 0.00000000, 0.00000000
272, 0.00000000, 0.00000000, 0.00000000
273, 0.00000000, 0.00000000, 0.00009997
274, 0.00000000, 0.00000000, 0.00000000
275, 0.00000000, 0.00000000, 0.00000000
276, 0.00000000, 0.00000000, 0.00000000
277, 0.00000000, 0.00000000, 0.00000000
278, 0.00000000, 0.00000000, 0.00000000
279, 0.00000000, 0.00000000, 0.00000000
280, 0.00000000, 0.00000000, 0.00000000
281, 0.00010097, 0.00000000, 0.00000000
282, 0.00000000, 0.00000000, 0.00000000
283, 0.00000000, 0.00000000, 0.00009973
284, 0.00000000, 0.00000000, 0.00000000
285, 0.00000000, 0.00000000, 0.00000000
286, 0.00000000, 0.00000000, 0.00000000
287, 0.00000000, 0.00000000, 0.00000000
288, 0.00000000, 0.00000000, 0.00010009
289, 0.00000000, 0.00000000, 0.00000000
290, 0.00000000, 0.00000000, 0.00000000
291, 0.00000000, 0.00000000, 0.00000000
292, 0.00000000, 0.00000000, 0.00009961
293, 0.00000000, 0.00000000, 0.00000000
294, 0.00000000, 0.00000000, 0.00000000
295, 0.00000000, 0.00000000, 0.00009997
296, 0.00000000, 0.00000000, 0.00000000
297, 0.00000000, 0.00000000, 0.00000000
298, 0.00000000, 0.00000000, 0.00000000
299, 0.00000000, 0.00000000, 0.00000000
300, 0.00000000, 0.00000000, 0.00000000
301, 0.00000000, 0.00000000, 0.00000000
302, 0.00000000, 0.00000000, 0.00000000
303, 0.00000000, 0.00000000, 0.00000000
304, 0.00000000, 0.00000000, 0.00000000
305, 0.00000000, 0.00000000, 0.00000000
306, 0.00000000, 0.00000000, 0.00000000
307, 0.00000000, 0.00000000, 0.00000000
308, 0.00000000, 0.00000000, 0.00000000
309, 0.00000000, 0.00000000, 0.00000000
310, 0.00000000, 0.00000000, 0.00000000
311, 0.00010002, 0.00000000, 0.00000000
312, 0.00000000, 0.00000000, 0.00000000
313, 0.00000000, 0.00000000, 0.00010002
314, 0.00000000, 0.00000000, 0.00000000
315, 0.00000000, 0.00000000, 0.00000000
316, 0.00000000, 0.00000000, 0.00000000
317, 0.00009995, 0.00000000, 0.00000000
318, 0.00000000, 0.00000000, 0.00000000
319, 0.00000000, 0.00000000, 0.00000000
320, 0.00000000, 0.00000000, 0.00010002
321, 0.00000000, 0.00000000, 0.00000000
322, 0.00000000, 0.00000000, 0.00000000
323, 0.00000000, 0.00000000, 0.00000000
324, 0.00000000, 0.00000000, 0.00010002
325, 0.00000000, 0.00000000, 0.00000000
326, 0.00000000, 0.00000000, 0.00000000
327, 0.00000000, 0.00000000, 0.00000000
328, 0.00000000, 0.00000000, 0.00009999
